Purchase Order No,Supplier Name,Order Date,Delivery Date,Item Name,Item Description,Quantity Ordered,Quantity Delivered,Unit Price,Total Cost,Delivery Status,Defect Rate,Category Barang,Approval Time (Hari),Procurment Lead Time (Hari)
0013/PO/CD/I/2024/CIC/CI,DASW - Bekasi,26-01-2024,13-02-2024,ORDNER - ODNER,"Tipe 717, warna hitam","5,00","5,00","355.000,00","1.775.000,00",Finish,0%,ALAT TULIS KANTOR,1,18
0013/PO/CD/I/2024/CIC/CIE,PT. PLATBOARD LUTDESINDO,23-01-2024,28-02-2024,SPANDUK,"Materi waterpark, bahan flexi, ukuran 2,4 x 3.63 meter, posisi sebrang SPBU CIC","1,00","1,00","446.020,00","446.020,00",Finish,0%,MEDIA INFORMASI,11,36
0013/PO/CD/II/2024/CIC/MKES,Alvin Azizi - Tangerang,24-02-2024,06-03-2024,SPANDUK,"Bahan polyster, sablon, Uk. 1,15x8 meter, materi : Citra Indah avenue tahap 2","100,00","100,00","68.000,00","6.800.000,00",Finish,0%,MEDIA INFORMASI,2,11
0013/PO/CD/III/2023/CIC/MKES,CV. Sanjaya - Bekasi,20-03-2023,07-04-2023,BROSUR,"Cetak 2 muka, materi: bukit Viola, cetak A4 hitam putih","1500,00","1500,00","200,00","300.000,00",Finish,0%,MEDIA INFORMASI,1,18
0013/PO/CD/III/2024/CIC/AIMP,Ace Hardware - Cibubur,19-03-2024,05-04-2024,TEMPAT SAMPAH,"Kapasitas 120 liter, warna biru, material: plastik, 2 roda","63,00","63,00","479.900,00","30.233.700,00",Finish,0%,KEBERSIHAN,1,17
0013/PO/CD/V/2023/CIC/AIMP,PT. PLATBOARD LUTSINDO - Bekasi,28-05-2023,05-03-2024,SPANDUK,"Bahan : Flexi, Ukuran : 0,6 x 2,9meter, Materi : Tipe baru 2lt 3 kamar - Bukit Permai Ext""","4,00","4,00","156.600,00","626.400,00",Finish,0%,MEDIA INFORMASI,2,282
0013/PO/CD/V/2023/CIC/MKESE,SAHABAT USAHA TEKNIK - BOGOR,03-05-2023,24-05-2023,LAMPU,Lampu TL. biasa Merk Philips 36 Watt,"3,00","3,00","25.000,00","75.000,00",Finish,0%,LISTRIK,2,21
0013/PO/CD/V/2023/CIC/MKESE,SAHABAT USAHA TEKNIK - BOGOR,03-05-2023,24-05-2023,LAMPU,Lampu TL LED Merk Philips 16 Watt,"7,00","7,00","50.000,00","350.000,00",Finish,0%,LISTRIK,2,21
0013/PO/CD/V/2023/CIC/MKESE,SAHABAT USAHA TEKNIK - BOGOR,03-05-2023,24-05-2023,LAMPU,Lampu Bohlam Merk Philips  10 Watt,"25,00","25,00","48.000,00","1.200.000,00",Finish,0%,LISTRIK,2,21
0014/PO/CD/I/2023/CIC/CI,Toko Pasific Elektronik -  Jonggol,12-01-2023,25-01-2023,KULKAS FRIDGE,"Tipe: SJ-317MG, Listrik : 130 Watt, Dimensi : W 545 x D 588 x H 1.630 mm","1,00","1,00","3.300.000,00","3.300.000,00",Finish,0%,PENGOLAH UDARA - PENDINGIN,6,13
0014/PO/CD/I/2024/CIC/CI,DASW - Bekasi,26-01-2024,13-02-2024,KERTAS A4,"Kertas A4 75GR, warna putih, BMO","100,00","100,00","49.000,00","4.900.000,00",Finish,0%,ALAT TULIS KANTOR,1,18
0014/PO/CD/II/2024/CIC/MKES,CV. Sanjaya - Bekasi,24-02-2024,12-03-2024,BROSUR,"Pricelist Viola, Cetak hitam putih, 2 muka, materi : kertas A4, per : 30 Okt 2023","2500,00","2500,00","250,00","625.000,00",Finish,0%,MEDIA INFORMASI,2,17
0014/PO/CD/III/2023/CIC/CIE,Dodi Kohanta - Jonggol,06-03-2023,21-04-2023,BATU MACADAM / MAKADAM,-,"14,00","14,00","300.000,00","4.200.000,00",Finish,0%,MATERIAL KONSTRUKSI,0,46
0014/PO/CD/III/2023/CIC/MKES,Toko Pasific Elektronik -  Jonggol,21-03-2023,02-04-2023,KOMPOR GAS,"Tipe BH 0325, warna hitam, 2 tungku, aluminum burner, triple ring burners","3,00","3,00","1.850.000,00","5.550.000,00",Finish,0%,PERALATAN DAPUR,1,12
0014/PO/CD/III/2024/CIC/AIMP,PT. PLATBOARD LUTDESINDO,22-03-2024,06-05-2024,BILLBOARD,"Uk 9 x 7 meter, lokasi dpn pom bensin, materi : permai ramadhan","1,00","1,00","1.917.500,00","1.917.500,00",Finish,0%,MEDIA INFORMASI,2,45
0014/PO/CD/V/2023/CIC/AIMP,SAHABAT USAHA TEKNIK - BOGOR,28-05-2023,06-06-2023,LAMPU LAINNYA,"Warna kuning, 5 Watt","3,00","3,00","20.000,00","60.000,00",Finish,0%,LISTRIK,2,9
0014/PO/CD/V/2023/CIC/AIMP,SAHABAT USAHA TEKNIK - BOGOR,28-05-2023,06-06-2023,LAMPU LAINNYA,"Warna putih, 10 Watt","9,00","9,00","48.000,00","432.000,00",Finish,0%,LISTRIK,2,9
0014/PO/CD/V/2023/CIC/MKESE,PT. REFRITAMA  SUMMIT SARANA - BOGOR,25-05-2023,02-06-2023,FREON AC,FREON R410,"1,00","1,00","150.000,00","150.000,00",Finish,0%,PENGOLAH UDARA - PENDINGIN,1,8
0015/PO/CD/I/2023/CIC/CI,Toko Pasific Elektronik -  Jonggol,12-01-2023,25-01-2023,MESIN CUCI,"Tipe: ES-M-1000T, Kapasitas : 10 kg, daya : 410 W","1,00","1,00","3.600.000,00","3.600.000,00",Finish,0%,KEBERSIHAN,6,13
0015/PO/CD/I/2024/CIC/CI,Alvin Azizi - Tangerang,29-01-2024,19-02-2024,SPANDUK,"Polyster sablon, Uk. 1,15x8 meter, materi : rumah siap huni hemat 120juta","100,00","100,00","68.000,00","6.800.000,00",Finish,0%,MEDIA INFORMASI,4,21
0015/PO/CD/II/2024/CIC/MKES,PT. PLATBOARD LUTDESINDO,26-02-2024,06-03-2024,BILLBOARD,"Bahan flexi , ukuran 5x10 meter, materi : Hemat hingga 120jutaan. posisi : taman Cileungsi","1,00","1,00","1.625.000,00","1.625.000,00",Finish,0%,MEDIA INFORMASI,4,9
0015/PO/CD/III/2023/CIC/CIE,Pinus Design - Cikarang,06-03-2023,21-03-2023,CETAKAN LAIN,Cetak warna 4A. 80gr,"2,00","2,00","125.000,00","250.000,00",Finish,0%,RUPA - RUPA,0,15
