Reporting - Report PO | PIM;;;;;;;;;;;;;;;
Purchase Order No;Supplier Name;Order Date;Delivery Date;Item ID;Item Name;Item Description;Quantity Ordered;Quantity Delivered;Unit Price;Total Cost;Delivery Status;Defect Rate;Category Barang;Approval Time;Procurment Lead Time
0005/PO/CD/III/2023/CIC/AIMP;TOKO GS;20-03-2023;30-03-2023;31632;OBENG;Obeng Amerika;"1,00";"1,00";15000;"15.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;0 Hari;10 Hari
0005/PO/CD/III/2023/CIC/AIMP;TOKO GS;20-03-2023;30-03-2023;31172;PAKU BIASA;7cm;.50;.50;18000;"9.000,00";Finish;0%;MATERIAL KONSTRUKSI;0 Hari;10 Hari
0005/PO/CD/III/2023/CIC/AIMP;TOKO GS;20-03-2023;30-03-2023;31652;TANG;Tang kombinasi;"1,00";"1,00";50000;"50.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;0 Hari;10 Hari
0005/PO/CD/III/2023/CIC/AIMP;TOKO GS;20-03-2023;30-03-2023;31716;TESPEN;100 - 250 V;"1,00";"1,00";5000;"5.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;0 Hari;10 Hari
0005/PO/CD/III/2023/CIC/MKESE;SAHABAT USAHA TEKNIK - BOGOR;06-03-2023;;30961;LAMPU LAINNYA;"Lampu TL LED 40watt, warna putih";"5,00";;25000;"125.000,00";Dalam Proses;100%;LISTRIK;4 Hari;
0005/PO/CD/III/2023/CIC/MKESE;SAHABAT USAHA TEKNIK - BOGOR;06-03-2023;;30961;LAMPU LAINNYA;"Lampu bohlam 10 watt, warna putih";"10,00";;50000;"500.000,00";Dalam Proses;100%;LISTRIK;4 Hari;
0006/PO/CD/I/2023/CIC/CI;Bina Jaya Computer - Jakarta;05-01-2023;09-01-2023;30699;BATERAI LAPTOP;Laptop HP 14S - cf0044tx;"1,00";"1,00";700000;"700.000,00";Finish;0%;KOMPUTER;0 Hari;4 Hari
0006/PO/CD/I/2023/CIC/MKES;Toko Pasific Elektronik -  Jonggol;17-01-2023;28-01-2023;31458;AC SPLIT WALL;"Tipe AQA KR5 AHP, 0.5 PK, daya: 390watt";"9,00";"9,00";2300000;"20.700.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;1 Hari;11 Hari
0006/PO/CD/II/2023/CIC/CIE;ADE ABDILLAH - BOGOR;11-02-2023;22-02-2023;31359;RAMBU LALU LINTAS;"Frame: 50x60cm, bahan: ACP & sticker. Tiang: Pipa galvanis 2"", tinggi 3m, cat silver, materi ""batas kecepatan 20 km/jam""";"2,00";"2,00";830000;"1.660.000,00";Finish;0%;MEDIA INFORMASI;1 Hari;11 Hari
0006/PO/CD/II/2023/CIC/CIE;ADE ABDILLAH - BOGOR;11-02-2023;22-02-2023;31359;RAMBU LALU LINTAS;"Frame: 50x60cm, bahan: ACP & sticker. Tiang: Pipa galvanis 2"", tinggi 3m, cat silver, materi ""batas kecepatan 30 km/jam""";"3,00";"3,00";830000;"2.490.000,00";Finish;0%;MEDIA INFORMASI;1 Hari;11 Hari
0006/PO/CD/II/2023/CIC/CIE;ADE ABDILLAH - BOGOR;11-02-2023;22-02-2023;31359;RAMBU LALU LINTAS;"Frame: 50x60cm, bahan: ACP & sticker. Tiang: Pipa galvanis 2"", tinggi 3m, cat silver, materi ""kurangi kecepatan""";"5,00";"5,00";830000;"4.150.000,00";Finish;0%;MEDIA INFORMASI;1 Hari;11 Hari
0006/PO/CD/III/2023/CIC/AIMP;CV. Sanjaya - Bekasi;24-03-2023;06-04-2023;31379;BROSUR;"Cetak 1 muka, A4 80gr, cetak hitam putih";"1500,00";"1500,00";150;"225.000,00";Finish;0%;MEDIA INFORMASI;2 Hari;13 Hari
0006/PO/CD/III/2023/CIC/MKESE;TOKO GS;14-03-2023;24-03-2023;31067;FITTING LAMPU;Tipe E 14;"1,00";"1,00";12000;"12.000,00";Finish;0%;MATERIAL KONSTRUKSI;0 Hari;10 Hari
0006/PO/CD/III/2023/CIC/MKESE;TOKO GS;14-03-2023;24-03-2023;31152;ISOLASI;-;"1,00";"1,00";8000;"8.000,00";Finish;0%;MATERIAL KONSTRUKSI;0 Hari;10 Hari
0006/PO/CD/III/2023/CIC/MKESE;TOKO GS;14-03-2023;24-03-2023;30963;LAMPU PJU;15 Watt;"4,00";"4,00";50000;"200.000,00";Finish;0%;LISTRIK;0 Hari;10 Hari
0006/PO/CD/III/2023/CIC/MKESE;TOKO GS;14-03-2023;24-03-2023;30879;MCB;10 Ampere;"3,00";"3,00";80000;"240.000,00";Finish;0%;LISTRIK;0 Hari;10 Hari
0007/PO/CD/I/2023/CIC/CI;Toko Pasific Elektronik -  Jonggol;07-01-2023;28-01-2023;31507;DISPENSER GALON;Dispenser Galon Bawah Sanken HWD 5351C;"1,00";"1,00";1550000;"1.550.000,00";Finish;0%;PERALATAN DAPUR;1 Hari;21 Hari
0007/PO/CD/II/2023/CIC/CIE;FEBI DAMAYANTHI -  JAKARTA;11-02-2023;07-03-2023;30354;SEPATU LAPANGAN;"Warna coklat, uk: 41, tipe: KWD 205CX";"1,00";"1,00";445000;"445.000,00";Finish;0%;FASHION;1 Hari;24 Hari
0007/PO/CD/II/2023/CIC/MKES;CV. Sanjaya - Bekasi;06-02-2023;15-02-2023;31379;BROSUR;"Materi: Bukit Viola, art cartoon 260gr, laminasi doft, lipat 3";"2500,00";"2500,00";5000;"12.500.000,00";Finish;0%;MEDIA INFORMASI;0 Hari;9 Hari
0007/PO/CD/III/2023/CIC/MKESE;Global Mitra Proteksindo - Jakarta;29-03-2023;04-04-2023;31605;REFILL APAR;Powder 3 KG;"1,00";"1,00";135000;"135.000,00";Finish;0%;PERALATAN KEAMANAN;1 Hari;6 Hari
0007/PO/CD/III/2023/CIC/MKESE;Global Mitra Proteksindo - Jakarta;29-03-2023;04-04-2023;31605;REFILL APAR;CO2 3 KG;"2,00";"2,00";410000;"820.000,00";Finish;0%;PERALATAN KEAMANAN;1 Hari;6 Hari
0007/PO/CD/IV/2023/CIC/AIMP;Toko Pasific Elektronik -  Jonggol;04-04-2023;18-04-2023;31555;KOMPOR INDUKSI;1 tungku tipe IDC-300;"1,00";"1,00";285000;"285.000,00";Finish;0%;PERALATAN DAPUR;0 Hari;14 Hari
0008/PO/CD/I/2023/CIC/CI;CV. SUKSES HUTAMA ELITE;07-01-2023;16-01-2023;30804;FUSER FILM PRINTER;"1 Set sparepart printer HP laser jet M402 (fuser film, solenoid, roller pick up)";"1,00";"1,00";825000;"825.000,00";Finish;0%;KOMPUTER;1 Hari;9 Hari
0008/PO/CD/II/2023/CIC/CIE;Tokopedia;11-02-2023;;31035;LEM SEALANT;sealant SIKAFLEX 221;"2,00";;87500;"175.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;2 Hari;
0008/PO/CD/II/2023/CIC/MKES;ADE ABDILLAH - BOGOR;06-02-2023;22-02-2023;30574;TEMPAT SAMPAH;"Kapasitas 60 liter, warna hijau, tiang tanam.";"2,00";"2,00";300000;"600.000,00";Finish;0%;KEBERSIHAN;0 Hari;16 Hari
0008/PO/CD/IV/2023/CIC/AIMP;Toko Pasific Elektronik -  Jonggol;04-04-2023;12-04-2023;31458;AC SPLIT WALL;"Tipe AQA KR5 AHP, 0.5 PK, daya: 390watt";"1,00";"1,00";2300000;"2.300.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;1 Hari;8 Hari
0008/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;;30003;ISI CUTTER;L - 500 isi 5 pcs;"1,00";;10000;"10.000,00";Dalam Proses;0%;ALAT TULIS KANTOR;1 Hari;
0008/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;;31034;LEM PIPA;-;"1,00";;10000;"10.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;1 Hari;
