Purchase Order No,Supplier Name,Order Date,Delivery Date,Item Name,Item Description,Quantity Ordered,Quantity Delivered,Unit Price,Total Cost,Delivery Status,Defect Rate,Category Barang,Approval Time (Hari),Procurment Lead Time (Hari)
0007/PO/CD/I/2024/CIC/CIE,BAKTI PERCETAKAN - JAKARTA,11/1/2024,22-01-2024,STIKER NAMA PROYEK,"Sticker WaterPark, ukuran 17x9cm, warna colourfull",10000,10000,"2,000.00","20,000,000.00",Finish,0%,RUPA - RUPA,1,11
0007/PO/CD/II/2024/CIC/AIMP,CV. Sanjaya - Bekasi,24-02-2024,12/3/2024,BROSUR,"Pricelist Permai, Cetak hitam putih, 1 muka, materi : kertas A4",2500,2500,200,"500,000.00",Finish,0%,MEDIA INFORMASI,2,17
0007/PO/CD/II/2024/CIC/MKES,Toko Pasific Elektronik -  Jonggol,15-02-2024,,AC SPLIT WALL,"AC 1/2PK, Tipe KR5AHQ",1,,"2,300,000.00",0,Dalam Proses,0%,PENGOLAH UDARA - PENDINGIN,3,
0007/PO/CD/II/2024/CIC/MKES,Toko Pasific Elektronik -  Jonggol,15-02-2024,,AC SPLIT WALL,"AC 1/2PK, Tipe KR5AHQ",1,,"2,300,000.00",0,Dalam Proses,0%,PENGOLAH UDARA - PENDINGIN,3,
0007/PO/CD/II/2024/CIC/MKES,Toko Pasific Elektronik -  Jonggol,15-02-2024,,AC SPLIT WALL,"AC 1/2PK, Tipe KR5AHQ",1,,"2,300,000.00",0,Dalam Proses,0%,PENGOLAH UDARA - PENDINGIN,3,
0007/PO/CD/III/2024/CIC/MKESE,Toko Pasific Elektronik -  Jonggol,20-03-2024,22-03-2024,LAMPU,"Lampu TL LED 16 Watt, warna putih",10,10,"97,500.00","975,000.00",Finish,0%,LISTRIK,1,2
0008/PO/CD/I/2024/CIC/CI,JOYKO OFFICIAL - TOKOPEDIA,11/1/2024,25-04-2024,PENA - BALLPOIN STANDARD,"Joyko GP-265, warna merah",12,12,"2,750.00","33,000.00",Finish,0%,ALAT TULIS KANTOR,1,105
0008/PO/CD/I/2024/CIC/CI,JOYKO OFFICIAL - TOKOPEDIA,11/1/2024,25-04-2024,PENA - BALLPOIN STANDARD,"Joyko GP-265, warna hitam",36,36,"2,750.00","99,000.00",Finish,0%,ALAT TULIS KANTOR,1,105
0008/PO/CD/I/2024/CIC/CIE,BAKTI PERCETAKAN - JAKARTA,11/1/2024,22-01-2024,FLYER,"Materi waterpark, ukuran A5, warna : Colourfull",10,10,"338,000.00","3,380,000.00",Finish,0%,MEDIA INFORMASI,1,11
0008/PO/CD/II/2024/CIC/AIMP,Alvin Azizi - Tangerang,26-02-2024,6/3/2024,SPANDUK,"Bahan polyster, sablon, Uk. 1,15x8 meter, materi : smart home",100,100,"68,000.00","6,800,000.00",Finish,0%,MEDIA INFORMASI,4,9
